150
4 14
34 5 13
17 0 8
41 4 9
8 6 14
34 130
120 15 130
84 67 130
52 28 130
87 48 130
57 0 72
2 35 130
40 0 91
119 0 124
24 45 130
80 24 127
118 46 130
36 1 130
97 88 130
83 8 59
59 60 130
89 37 130
38 0 127
129 81 130
124 0 122
8 2 130
117 30 56
67 81 130
34 0 130
0 0 51
86 1 68
79 27 102
90 0 113
138 76 130
44 4 105
109 21 130
136 0 50
15 0 113
30 0 94
11 69 111
28 140
31 4 140
13 59 140
28 0 93
43 25 140
49 0 81
44 19 140
37 45 140
40 0 115
21 0 120
23 0 108
34 11 140
32 0 99
22 0 102
36 102 140
12 49 140
47 0 129
50 24 140
14 0 125
35 0 101
5 0 129
24 4 140
46 64 100
8 0 127
19 59 97
36 0 85
48 0 106
11 33 140
2 71 140
29 958
43 363 958
94 287 958
1 0 435
79 0 583
92 0 920
67 0 766
69 197 958
30 0 893
100 0 688
54 449 702
53 523 958
8 0 739
22 0 943
68 388 958
7 0 667
45 21 958
84 62 534
88 150 958
60 0 885
89 28 516
17 22 952
99 143 958
10 199 958
31 0 563
0 0 788
62 67 958
38 91 958
76 0 620
41 342 958
50 95662
100000 0 93203
15939 39408 95662
78233 21417 59680
22573 46808 95662
95680 3718 95662
78760 6616 95662
21630 0 77763
42744 1685 95662
10371 42696 95662
6369 1349 95662
89185 0 75805
91209 34392 95662
76695 3382 95662
54379 0 63756
42216 39621 82781
82123 0 43177
50210 0 95592
63650 36896 95662
40199 0 55491
5220 0 74153
75650 1166 95662
8907 0 64871
91418 0 64500
3037 0 78739
75613 19193 95662
75828 0 90529
530 0 77094
74088 38946 95662
29122 0 56589
90981 0 69076
89895 829 95662
6093 21209 95662
25741 0 36098
18447 0 61571
16632 0 46451
52633 21435 95662
67699 12822 95662
98371 0 58226
51423 57171 95662
95708 0 94894
37474 0 85265
60686 4109 82359
85003 26420 95662
78263 0 92050
42384 0 55804
1308 44365 95662
51979 9998 95662
90596 0 83376
81879 0 77547
84959 33586 82011
11 125
21 3 92
91 36 125
1 50 125
49 0 88
86 28 125
31 13 125
41 0 117
73 0 41
54 62 125
22 35 125
3 0 101
8 85
8 0 85
27 46 84
58 0 80
73 20 54
34 0 32
4 0 78
93 0 78
85 13 55
44 711
1 16 642
22 190 711
2 138 711
23 0 546
43 63 711
16 0 530
14 201 711
54 136 711
46 0 670
62 212 711
47 0 666
27 160 711
34 139 711
17 140 711
21 0 638
15 288 711
57 0 463
4 0 681
60 0 416
42 41 347
8 0 401
28 80 711
6 0 243
20 311 509
39 231 495
30 0 638
53 22 711
13 49 625
19 0 201
56 89 711
45 436 630
12 186 711
24 136 711
33 0 593
51 0 366
0 375 711
44 237 711
37 0 625
29 0 615
9 402 561
26 0 687
5 0 687
49 0 665
7 0 556
40 724
85 0 619
108 0 586
62 141 724
55 78 724
37 146 628
6 0 426
123 0 684
67 143 405
120 213 724
101 128 675
124 0 549
127 68 724
116 0 647
75 1 724
54 0 512
40 0 284
32 11 724
61 413 724
90 0 290
76 0 476
24 233 724
41 0 345
114 0 476
51 126 724
96 0 416
118 93 487
19 23 724
43 0 416
44 0 514
53 219 724
100 314 724
45 72 712
92 157 724
39 163 724
3 86 724
33 233 724
57 0 623
4 0 413
66 0 318
104 18 724
30 481
115 0 322
118 152 262
17 0 326
111 154 481
45 0 229
94 0 360
101 223 481
72 265 481
55 0 129
54 125 467
10 0 371
87 0 439
59 60 481
13 84 211
38 320 481
102 59 233
51 316 481
23 271 481
2 0 284
64 0 451
31 0 481
74 0 465
36 50 481
37 0 435
76 0 312
50 0 407
57 0 402
109 228 481
33 112 425
61 166 481
15 746
11 382 746
8 0 739
5 123 746
38 78 746
81 466 674
65 0 598
31 357 727
39 99 697
82 0 305
0 0 679
33 0 518
66 0 468
54 0 664
67 237 736
43 0 624
49 883
25 0 791
85 0 383
57 0 847
45 0 629
49 0 849
35 241 883
30 0 693
17 0 864
73 144 383
2 73 883
68 162 360
88 0 601
48 21 883
5 0 610
65 159 883
43 108 883
24 0 756
34 0 742
56 0 757
27 86 883
8 77 837
52 0 865
67 40 632
0 72 883
83 210 883
75 0 643
64 17 883
76 0 690
15 661 877
6 0 224
38 0 577
15 0 451
12 397 883
63 281 566
61 0 479
81 0 859
44 219 883
13 18 883
29 64 883
79 63 883
55 442 704
51 168 883
60 278 883
86 0 723
74 0 843
40 203 795
10 247 883
28 92 883
84 328 883
3 9
33 0 6
66 0 9
99 3 9
21 161
52 0 85
20 0 65
18 44 161
49 39 127
42 20 161
32 42 161
21 93 161
68 0 101
79 0 66
6 12 66
82 50 161
81 48 161
13 7 161
12 107 161
1 0 146
23 68 161
36 0 161
57 104 161
9 1 161
71 103 161
16 29 161
25 327
6 36 220
24 58 327
4 0 269
14 0 195
75 0 311
90 0 237
33 24 205
107 90 327
51 75 327
64 0 317
65 0 243
53 56 327
66 28 327
18 28 107
62 131 327
68 162 279
23 21 327
16 0 134
52 0 247
55 225 327
27 204 327
73 0 145
102 112 260
8 0 188
35 0 235
18 361
2 148 361
30 50 361
27 0 348
25 0 276
38 3 361
17 0 327
28 82 361
24 0 265
32 147 361
8 149 361
34 25 306
33 46 361
